"Fornecedor";"Contratante";"Número do Contrato";"Objeto do Contrato";"Início da Vigência";"Fim da Vigência";"Data da Assinatura";"Valor do Contrato";"Valor é porcentagem?";
"CANON MEDICAL SYSTEMS DO BRASIL LTDA";"Secretaria Municipal de Saude";"105852021";"AQUISICAO DE UM TOMOGRAFO PARA O COMPLEXO HOSPITALAR DE MANGABEIRA GOVERNADOR TARCISIO BURITY PARA ENFRENTAMENTO A PANDEMIA DO NOVO CORONAVIRUS (COVID-19)";"2021-07-13";"2021-12-31";"2021-07-12";"1012000.0";"0";
"CIRUFARMA COMERCIAL LTDA";"Instituto Candida Vargas";"232812021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS SOB CONTROLE";"";"2021-12-31";"2021-07-08";"35870.0";"0";
"CLINEPA-CLINICA DE NEFROLOGIA DA PARAIBA";"Secretaria Municipal de Saude";"105642021";"CONTRATACAO DE EMPRESA ESPECIALIZADA NA PRESTACAO DE SERVICOS DE HEMODIALISE A BEIRA DO LEITO, NECESSARIAS PARA O ENFRENTAMENTO A PANDEMIA CORONAVIRUS COVID-19 - (COVID-19)";"";"";"2021-07-05";"1116228.0";"0";
"ASTRA CIENTIFICA EIRELI";"Secretaria Municipal de Saude";"105992021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO DE DIABETES.";"2021-07-14";"2021-12-31";"2021-07-13";"67000.0";"0";
"Consorcio Demacamp - Anima";"Unidade Executora do Programa Joao Pessoa Sustentavel";"020072021";"Servicos para elaboracao do Plano de Desenvolvimento Comunitario do Complexo Beira Rio";"2021-05-26";"2024-12-27";"2021-05-26";"11250239.64";"0";
"CM HOSPITALAR S.A.";"Secretaria Municipal de Saude";"106012021";"AQUISICAO DE MEDICAMENTO PARA ATENDER DEMANDA JUDICIAL DA SECRETARIA MUNICIPAL DE SAUDE DE JOAO PESSOA.";"2021-07-14";"2022-01-10";"2021-07-09";"53087.4";"0";
"ELFA MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"106002021";"AQUISICAO DE MEDICAMENTOS TERIPARATIDA FORTEO 250 MCGML SOL. PARA ATENDER A DISPENSA DE LICITACAO N10. 0052021 DA SECRETARIA MUNICIPAL DE SAUDE  SMS.";"2021-07-14";"2022-01-10";"2021-07-09";"40833.9";"0";
"GLOBAL Comercial Eireli-ME";"Instituto Candida Vargas";"232762021";"AQUISICAO DE MATERIAL MEDICO  FIOS CIRURGICOS";"";"2021-12-31";"2021-07-13";"7473.6";"0";
"FL COMERCIO ATACADISTA DE ARTIGOS DE USO PESSOAL E DOMESTICO EIRELI";"Secretaria de Desenvolvimento Urbano";"043222021";"Aquisicao  de  agua  mineral  para  atender  as  necessidades  da  Secretaria  de Desenvolvimento Urbano - SEDURB.";"2021-07-10";"2021-12-31";"2021-07-08";"11450.0";"0";
"AUGUSTA E RESP LOJA SIMB 5 DE AGOSTO RITO ADONHIRA MITA";"Secretaria Municipal de Saude";"109092019";"INSTALACAO DA UNIDADE DE SAUDE DA FAMILIA RIACHO DOCE DO DISTRITO SANITARIO II.";"2019-07-13";"2020-07-13";"2019-07-05";"3067.12";"0";
"AUGUSTA E RESP LOJA SIMB 5 DE AGOSTO RITO ADONHIRA MITA";"Secretaria Municipal de Saude";"109092019";"INSTALACAO DA UNIDADE DE SAUDE DA FAMILIA RIACHO DOCE DO DISTRITO SANITARIO II.";"2020-07-13";"2021-07-13";"2020-07-13";"0.0";"0";
"AUGUSTA E RESP LOJA SIMB 5 DE AGOSTO RITO ADONHIRA MITA";"Secretaria Municipal de Saude";"109092019";"INSTALACAO DA UNIDADE DE SAUDE DA FAMILIA RIACHO DOCE DO DISTRITO SANITARIO II.";"2021-07-13";"2022-07-13";"2021-07-09";"0.0";"0";
"ANTUNES ENGENHARIA EIRELI - ME";"Secretaria Municipal de Infraestrutura";"070192021";"Contratacao de Empresa Especializada de Engenharia para Servicos de Implantacao de Pavimentacao em Paralelepipedo no Bairro do Agua Fria Ruas: Osvaldo Agripino de Castro e Maria Jose Mendes da Nobrega Bairro Planalto da Boa Sentenca Rua: Recife e Bairro Loteamento Sao Joaquim Rua: Carteiro Olivio Pontes - Trecho B Joao Pessoa - PB - LOTE 15.";"2021-07-30";"2022-03-30";"2021-07-09";"841165.67";"0";
"SUPERFIO COMERCIO DE PRODUTOS MEDICOS E HOSPITALAR";"Instituto Candida Vargas";"232822021";"AQUISICAO DE INSUMOS PARA CME E RADIOLOGIA";"";"2021-12-31";"2021-07-14";"2120.0";"0";
"UNI HOSPITALAR LTDA";"Instituto Candida Vargas";"232612021";"AQUISICAO DE MEDICAMENTOS";"";"2021-12-31";"2021-07-13";"71358.5";"0";
"ANTUNES ENGENHARIA EIRELI - ME";"Secretaria Municipal de Infraestrutura";"070182021";"Contratacao de Empresa Especializada de Engenharia para Servicos de Implantacao de Pavimentacao em Paralelepipedo no Bairro do Cristo Rua: Major Brito Bairro Planalto da Boa Sentenca Ruas: Manoel Henrique dos Santos e Dr. Edmilson Cunha e Bairro Loteamento Sao Joaquim Rua: Carteiro Olivio Pontes - Trecho A Joao Pessoa - PB - LOTE 14.";"2021-07-30";"2022-03-30";"2021-07-09";"672834.55";"0";
"DISTRIBUIDORA FF ALIMENTOS";"Secretaria de Desenvolvimento Social";"040842021";"Acrescimo  de  25%  (vinte  e  cinco  por  cento)-  para  aquisicao  de generos  de alimentacao,   para  atender  as  necessidades  da  Secretaria  de Desenvolvimento  Social  -SEDES";"2021-07-09";"2021-12-31";"2021-07-09";"193143.85";"0";
"HORIZONTE COMERCIO EIRELI";"Secretaria de Desenvolvimento Social";"040852021";"Realinhamento do valor  - para aquisicao de generos de alimentacao, para atender as necessidades da Secretaria de Desenvolvimento Social - SEDES";"2021-07-10";"2021-12-31";"2021-07-10";"363139.0";"0";
"MARIA DE FATIMA SILVA SOUZA - ME";"Secretaria de Desenvolvimento Social";"040872021";"Acrescimo  de  25%  (vinte  e  cinco  por  cento)-  para  aquisicao  de generos  de alimentacao,  para  atender  as  necessidades  da  Secretaria  de Desenvolvimento  Social  -SEDES";"2021-07-10";"2021-12-31";"2021-07-10";"18000.0";"0";
"JOSE DA SILVA ARAUJO - FILMAGEM - ME";"Secretaria de Desenvolvimento Urbano";"046532020";"Acrescimo   de   25%   vinte   e   cinco   por   cento   -   contratacao   de   empresa especializada  na  prestacao  de  servicos  de  locacao  de  tendas  cadeiras  e  mesas  para atender  as necessidades  da Secretaria  de Desenvolvimento  Urbano  - SEDURB";"2021-07-10";"2021-12-31";"2021-07-10";"40499.9";"0";
"LUCIELMA MARIA OLIVEIRA DA SILVA";"Secretaria de Educacao";"040172021";"Realinhamento do valor - para aquisicao de generos de alimentacao, para atender
as necessidades da Secretaria de Educacao e Cultura - SEDEC";"2021-07-03";"2021-12-31";"2021-07-03";"610437.9";"0";
"CS BRASIL FROTAS LTDA";"Secretaria de Gestao Governamental e Chefia de Gabinete do Prefeito";"043582020";"Prorrogacao por 12 doze meses com reajuste de precos  contratacao de empresa especializada
na prestacao de servico de locacao de veiculos com e sem inclusao de condutor para atender as necessidades da Secretaria Municipal de Saude - SMS.";"2021-06-18";"2022-06-17";"2021-06-17";"101926.56";"0";
"DISTRIBUIDORA DE MEDICAMENTOS PRO SAUDE LTDA - EPP";"Secretaria Municipal de Saude";"106102021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS DA REDE HOSPITALAR E ESPECIALIZADA";"2021-07-20";"2021-12-31";"2021-07-19";"14049.0";"0";
"CIRUFARMA COMERCIAL LTDA";"Secretaria Municipal de Saude";"106192021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO (PERFUROCORTANTE) PARA ATENDER A REDE MUNICIPAL DE SAUDE.";"2021-07-20";"2021-12-31";"2021-07-19";"55347.0";"0";
"MEDVIDA DISTRIBUIDORA DE MEDICAMENTOS HOSPITALAR E";"Secretaria Municipal de Saude";"106052021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS DA REDE HOSPITALAR E ESPECIALIZADA";"2021-07-20";"2021-12-31";"2021-07-19";"102596.5";"0";
"ARKO CONSTRUCOES LTDA ";"Secretaria de Planejamento";"330042020";"contratacao de servicos especializados CONSTRUCAO DO BOSQUE PARQUE DAS AGUAS EM JOAO PESSOA.";"2020-08-12";"2021-09-06";"2021-07-12";"3390232.0";"0";
"SINERGIA FARMACEUTICA LTDA";"Secretaria Municipal de Saude";"106172021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS DA REDE HOSPITALAR E ESPECIALIZADA";"2021-07-20";"2021-12-31";"2021-07-19";"13230.0";"0";
"FARMACE INDUSTRIA QUIMICO FARMACEUTICA CEARENSE LTDA";"Secretaria Municipal de Saude";"106042021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS DA REDE HOSPITALAR E ESPECIALIZADA";"2021-07-20";"2021-12-31";"2021-07-19";"29070.0";"0";
"NNMED - DISTRIBUICAO IMPORTACAO E EXPOR DE MEDICAM";"Secretaria Municipal de Saude";"106152021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS DA REDE HOSPITALAR E ESPECIALIZADA";"2021-07-20";"2021-12-31";"2021-07-19";"151287.5";"0";
"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA";"Secretaria Municipal de Saude";"106062021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS DA REDE HOSPITALAR E ESPECIALIZADA";"2021-07-20";"2021-12-31";"2021-07-19";"70794.0";"0";
"MEDVIDA DISTRIBUIDORA DE MEDICAMENTOS HOSPITALAR E";"Secretaria Municipal de Saude";"106222021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO (PERFUROCORTANTE) PARA ATENDER A REDE MUNICIPAL DE SAUDE.";"2021-07-20";"2021-12-31";"2021-07-19";"4500.0";"0";
"NNMED - DISTRIBUICAO IMPORTACAO E EXPOR DE MEDICAM";"Instituto Candida Vargas";"232842021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAIS MEDICOS HOSPITALARES PARA O INSTITUTO CANDIDA VARGAS.";"";"2021-12-31";"2021-07-19";"39900.0";"0";
"HC COMERCIO DE PAPELARIA E SERVICOS EIRELI-EPP";"Instituto Candida Vargas";"232852021";"AQUISICAO DE MATERIAL DE LIMPEZA  PAPEL TOALHA";"";"2021-12-31";"2021-07-19";"180000.0";"0";
"OPEN FARMA COMERCIO DE PRODUTOS HOSPITALARES LTDA";"Secretaria Municipal de Saude";"106232021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO (PERFUROCORTANTE) PARA ATENDER A REDE MUNICIPAL DE SAUDE.";"2021-07-21";"2021-12-31";"2021-07-19";"99750.0";"0";
"ELFA MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"106032021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS DA REDE HOSPITALAR E ESPECIALIZADA";"2021-07-21";"2021-12-31";"2021-07-20";"66500.0";"0";
"DISTRIBUIDORA INTENSIVA MATERIAL MEDICO HOSP.";"Secretaria Municipal de Saude";"106202021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO (PERFUROCORTANTE) PARA ATENDER A REDE MUNICIPAL DE SAUDE.";"2021-07-21";"2021-12-31";"2021-07-19";"3600.0";"0";
"CLN LOCACOES E SERVICOS EIRELI - EPP";"Secretaria Municipal de Infraestrutura";"070202021";"Contratacao de Empresa Especializada de Engenharia para Execucao dos Servicos da Conclusao da Obra de Implantacao do Terminal de Integracao do Valentina em Joao Pessoa-PB.";"2021-08-03";"2023-02-03";"2021-07-19";"3550000.0";"0";
"GENESYS COMERCIO DE MATERIAL MEDICO HOSPITALAR LTDA - ME";"Secretaria Municipal de Saude";"106212021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO (PERFUROCORTANTE) PARA ATENDER A REDE MUNICIPAL DE SAUDE.";"2021-07-21";"2021-12-31";"2021-07-19";"324510.0";"0";
"LAISE DE LIMA E SILVA-EPP";"Secretaria Municipal de Saude";"106142021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS DA REDE HOSPITALAR E ESPECIALIZADA";"2021-07-21";"2021-12-31";"2021-07-19";"326050.0";"0";
"MEDERI DISTRIBUICAO E IMPORTACAO DE PRODUTOS PARA SAUDE LTDA";"Secretaria Municipal de Saude";"105862021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE BOLSAS DE OSTOMIA.";"2021-07-03";"2021-12-31";"2021-07-02";"19666.5";"0";
"LOGER DISTRIBUIDORA DE MEDIC E MATERIAIS HOSPITALA";"Secretaria Municipal de Saude";"106122021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS DA REDE HOSPITALAR E ESPECIALIZADA";"2021-07-22";"2021-12-31";"2021-07-21";"410205.5";"0";
"R DA S COSTA E MENDONCA COMERCIO DE TECIDOS LTDA";"Secretaria de Educacao";"042432021";"Aquisicao  de  tecidos  e  aviamentos,  para  atender  as  necessidades  da  Secretaria de Educacao  e Cultura  - SEDEC.";"2021-04-06";"2021-12-31";"2021-03-25";"8103.05";"0";
"NNMED - DISTRIBUICAO IMPORTACAO E EXPOR DE MEDICAM";"Instituto Candida Vargas";"232862021";"AQUISICAO DE MATERIAL MEDICO HOSPITALAR - MASCARAS CIRURGICAS";"";"2021-12-31";"2021-07-20";"30600.0";"0";
"ANTUNES ENGENHARIA EIRELI - ME";"Secretaria Municipal de Infraestrutura";"070222018";"Contratacao de empresa especializada de Engenharia para Execucao de Servicos de Implantacao de Drenagem e  Pavimentacao em Paralelepipedos de 22 Ruas nos seguintes Bairros: Ips Bessa Geisel Gramame Alto do Ceu Grotao Valentina Mangabeira Cruz das Armas e Funcionarios na Cidade de Joao Pessoa - PB";"2021-06-02";"2021-12-02";"2021-07-19";"3845259.17";"0";
"COMERCIAL VALFARMA LTDA";"Secretaria Municipal de Saude";"106092021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS DA REDE HOSPITALAR E ESPECIALIZADA";"2021-07-23";"2021-12-31";"2021-07-21";"79800.0";"0";
"ALFA MED SISTEMAS MEDICOS LTDA";"Instituto Candida Vargas";"232832021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE EQUIPAMENTOS HOSPITALARES PARA NEONATOLOGIA";"";"2021-12-31";"2021-07-21";"115000.0";"0";
"COOPERATIVA DOS ANESTESIOLOGISTAS DA PARAIBA - COOPANEST -PB";"Secretaria Municipal de Saude";"105422021";"CREDENCIAMENTO DE PESSOA JURIDICA PARA PRESTACAO DE SERVICOS MEDICOS NAS ESPECIALIDADES EM ANESTESIOLOGIA E TERAPIA INTENSIVA - UTI/COVID, VISANDO ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAUDE. (COVID-19).";"2021-07-13";"2021-10-11";"2021-07-13";"0.0";"0";
"HBL - VENDAS E SERVICOS DE ARTIGOS MEDICOS E ORTOPEDICOS LTDA";"Secretaria Municipal de Saude";"107862018";"MANUTENCAO PREVENTIVA E CORRETIVA DE VENTILADOR PULMONAR E UMIDIFICADOR DA MARCA INTERMED PEDIATRICO E ADULTO.";"2021-07-16";"2022-07-17";"2021-07-16";"268200.0";"0";
"DISTRIBUIDORA BRAZMAC LTDA";"Secretaria de Meio Ambiente";"040702021";": Realinhamento do valor - para aquisicao de generos de alimentacao, para
atender as necessidades da Secretaria do Meio Ambiente - SEMAM.";"2021-07-09";"2021-12-31";"2021-07-09";"198764.64";"0";
"Ernubia de Souza Rufino";"Secretaria de Educacao";"041122018";"Prorrogacao por 36 trinta e seis meses  locacao de imovel destinado ao
funcionamento da E.M.E.F. Padre Pedro Serrao para atender as necessidades da
Secretaria de Educacao e Cultura - SEDEC. ";"2021-07-11";"2024-07-10";"2021-07-09";"269945.64";"0";
"HORIZONTE COMERCIO EIRELI";"Secretaria de Desenvolvimento Social";"040852021";"Acrescimo de 25% (vinte e cinco por cento) - para aquisicao de generos de alimentacao, para atender as necessidades da Secretaria de Desenvolvimento Social - SEDES ";"2021-07-15";"2021-12-31";"2021-07-15";"947557.25";"0";
"NOVO RUMO DISTRIBUIDORA DE ALIMENTOS EIRELI";"Secretaria de Educacao";"044852021";"Aquisio   de   gneros   de   alimentao   para   atender   as   necessidades  da Secretaria de Educao e Cultura- SEDEC. ";"2021-07-17";"2021-12-31";"2021-07-16";"29333.47";"0";
"V. T. A. MACHADO DE ARRUDA EIRELI";"Autarquia Especial Municipal de Limpeza Urbana";"0122021";"EMBALAGENS DESCARTAVEIS PARA ATENDER AS NECESSIDADES DA AUTARQUIA ESPECIAL MUNICIPAL DE LIMPEZA URBANA-EMLUR CONFORME CONDICOES E EXIGNCIAS ESTABELECIDAS NO EDITAL E SEUS ANEXOS";"2021-07-10";"";"2021-07-08";"6184.2";"0";
"V. T. A. MACHADO DE ARRUDA EIRELI";"Autarquia Especial Municipal de Limpeza Urbana";"0132021";"EMBALAGENS DESCARTAVEIS PARA ATENDER AS NECESSIDADES DA AUTARQUIA ESPECIAL MUNICIPAL DE LIMPEZA URBANA-EMLUR CONFORME CONDICOES E EXIGNCIAS ESTABELECIDAS NO EDITAL E SEUS ANEXOS";"2021-07-10";"";"2021-07-08";"86578.8";"0";
"Raimundo Aldemar Fonseca Pires";"Secretaria de Educacao";"044822021";"Aquisio   de   gneros   de   alimentao   para   atender   as   necessidades da Secretaria de Educao e Cultura- SEDEC. ";"2021-07-15";"2021-12-31";"2021-07-15";"353858.82";"0";
"JAC COMERCIO DE PRODUTOS EIRELI";"Secretaria de Educacao";"044812021";"Aquisio   de   gneros   de   alimentao   para   atender   as   necessidades da Secretaria de Educao e Cultura- SEDEC. ";"2021-07-15";"2021-12-31";"2021-07-15";"33465.68";"0";
"EUCLIMAECIL ALMEIDA DE FREITAS 03183138476 ";"Secretaria de Administracao";"0447620200";"Aquisicao de adesivos para veiculos, para atender as necessidades da Secretaria de Administracao - SEAD. ";"2021-07-17";"2021-12-31";"2021-07-12";"26440.0";"0";
"EGC COMERCIO E ATACADISTA DE INFORMATICA E ELET.";"Secretaria de Juventude, Esporte e Recreacao";"044742021";"Aquisicao  de material  permanente,  para  atender  as  necessidades  da  Secretaria de Juventude Esporte e Recreacao - SEJER. ";"2021-07-16";"2021-12-31";"2021-07-16";"135.75";"0";
"Raimundo Aldemar Fonseca Pires";"Secretaria de Educacao";"044712021";"Aquisicao  de alimentacao  escolar,  para  atender  as  necessidades  da Secretaria de Educacao e Cultura - SEDEC";"2021-07-17";"2021-12-31";"2021-07-12";"3740690.0";"0";
"AZUL ESPORTES COMERCIAL LIMITADO-EPP";"Secretaria de Desenvolvimento Social";"042752020";"Aquisicao  de  material  esportivo,  para  atender  as  necessidades  da  Secretaria  de Desenvolvimento Social - SEDES";"2021-07-17";"2021-12-31";"2021-07-14";"7400.0";"0";
"MODERNA HOSPITALAR COMERCIO DE MATERIAIS MEDICOS E ORTOPEDICOS LTDA";"Secretaria Municipal de Saude";"106292021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO HOSPITALAR SONDAS PARA A REDE MUNICIPAL DE SAUDE.";"2021-07-28";"2021-12-31";"2021-07-27";"19947.0";"0";
"MEDICAL-HOSP ASSESSORIA E SERVICOS LTDA";"Secretaria Municipal de Saude";"106342021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL RADIOLOGICO PARA ATENDER A REDE HOSPITALAR, UPAS E POLICLINICAS.";"2021-07-28";"2021-12-31";"2021-07-26";"560.0";"0";
"NORD PRODUTOS EM SAUDE LTDA";"Secretaria Municipal de Saude";"106162021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS DA REDE HOSPITALAR E ESPECIALIZADA";"2021-07-28";"2021-12-31";"2021-07-26";"40358.85";"0";
"MODERNA HOSPITALAR COMERCIO DE MATERIAIS MEDICOS E ORTOPEDICOS LTDA";"Secretaria Municipal de Saude";"16322021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL RADIOLOGICO PARA ATENDER A REDE HOSPITALAR, UPAS E POLICLINICAS.";"2021-07-28";"2021-12-31";"2021-07-27";"165788.8";"0";
"MEDVIDA DISTRIBUIDORA DE MEDICAMENTOS HOSPITALAR E";"Secretaria Municipal de Saude";"106282021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO HOSPITALAR SONDAS PARA A REDE MUNICIPAL DE SAUDE.";"2021-07-28";"2021-12-31";"2021-07-27";"318.0";"0";
"CIRUFARMA COMERCIAL LTDA";"Secretaria Municipal de Saude";"106272021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO HOSPITALAR SONDAS PARA A REDE MUNICIPAL DE SAUDE.";"2021-07-28";"2021-12-31";"2021-07-27";"73150.0";"0";
"PRIOM TECNOLOGIA EM EQUIPAMENTOS EIRELI - ME";"Secretaria Municipal de Saude";"106242021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO (PERFUROCORTANTE) PARA ATENDER A REDE MUNICIPAL DE SAUDE.";"2021-07-28";"2021-12-31";"2021-07-27";"1900.0";"0";
"SUPERFIO COMERCIO DE PRODUTOS MEDICOS E HOSPITALAR";"Secretaria Municipal de Saude";"106352021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL RADIOLOGICO PARA ATENDER A REDE HOSPITALAR, UPAS E POLICLINICAS.";"2021-07-28";"2021-12-31";"2021-07-27";"17568.0";"0";
"GB Comercio e Distribuicao Ltda.";"Secretaria Municipal de Saude";"106262021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO HOSPITALAR SONDAS PARA A REDE MUNICIPAL DE SAUDE.";"2021-07-28";"2021-12-31";"2021-07-27";"54995.0";"0";
"MEDVIDA DISTRIBUIDORA DE MEDICAMENTOS HOSPITALAR E";"Secretaria Municipal de Saude";"106362021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL RADIOLOGICO PARA ATENDER A REDE HOSPITALAR, UPAS E POLICLINICAS.";"2021-07-28";"2021-12-31";"2021-07-26";"122834.0";"0";
"GLOBAL Comercial Eireli-ME";"Secretaria Municipal de Saude";"106252021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO HOSPITALAR SONDAS PARA A REDE MUNICIPAL DE SAUDE.";"2021-07-28";"2021-12-31";"2021-07-26";"12519.0";"0";
"CIRUFARMA COMERCIAL LTDA";"Secretaria Municipal de Saude";"106082021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS DA REDE HOSPITALAR E ESPECIALIZADA";"2021-07-29";"2021-12-31";"2021-07-27";"229719.5";"0";
"GVFLEX INDUSTRIA E COMERCIO DE PRODUTOS PARA  SAUDE LTDA - ME ";"Secretaria Municipal de Saude";"106312021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO HOSPITALAR SONDAS PARA A REDE MUNICIPAL DE SAUDE.";"2021-07-29";"2021-12-31";"2021-07-28";"45100.0";"0";
"CALL MED COMERCIO DE MEDICAMENTOS E REPRESENTACAO";"Secretaria Municipal de Saude";"106072021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS DA REDE HOSPITALAR E ESPECIALIZADA";"2021-07-29";"2021-12-31";"2021-07-27";"629280.0";"0";
"AGS COMERCIO E SERVICOS LTDA";"Secretaria de Educacao";"090182021";"Registro de precos para eventual aquisicao materiais e insumos para higienizacao das unidades escolares e manutencao das medidas de prevencao contra a pandemia do COVID-19, para atender as demandas de Escolas, CREIS e do CEI (Centro de Educacao Integrado) da Secretaria de Educacao.

";"2021-07-27";"2022-01-26";"2021-07-27";"1930337.0";"0";
"ANA LUIZA MEDEIROS MACHADO ME";"Secretaria de Educacao";"090172021";"Registro de precos para eventual aquisicao materiais e insumos para higienizacao das unidades escolares e manutencao das medidas de prevencao contra a pandemia do COVID-19, para atender as demandas de Escolas, CREIS e do CEI (Centro de Educacao Integrado) da Secretaria de Educacao.

";"2021-07-27";"2022-01-26";"2021-07-27";"138292.8";"0";
"ESTEFANIA LINS ALVES DA SILVA";"Secretaria de Educacao";"090132021";"Registro de precos para eventual aquisicao materiais e insumos para higienizacao das unidades escolares e manutencao das medidas de prevencao contra a pandemia do COVID-19, para atender as demandas de Escolas, CREIS e do CEI (Centro de Educacao Integrado) da Secretaria de Educacao.

";"2021-07-27";"2022-01-26";"2021-07-27";"267942.3";"0";
"L & J TRANSFER LTDA - ME";"Secretaria de Educacao";"090142021";"Registro de precos para eventual aquisicao materiais e insumos para higienizacao das unidades escolares e manutencao das medidas de prevencao contra a pandemia do COVID-19, para atender as demandas de Escolas, CREIS e do CEI (Centro de Educacao Integrado) da Secretaria de Educacao.

";"2021-07-27";"2022-01-26";"2021-07-27";"97957.4";"0";
"MIL COMERCIO DE MATERIAIS DE CONSTRUCAO EIRELI (MIL MATERIAIS)";"Secretaria de Educacao";"090102021";"Registro de precos para eventual aquisicao materiais e insumos para higienizacao das unidades escolares e manutencao das medidas de prevencao contra a pandemia do COVID-19, para atender as demandas de Escolas, CREIS e do CEI (Centro de Educacao Integrado) da Secretaria de Educacao.

";"2021-07-27";"2022-01-26";"2021-07-27";"34975.0";"0";
"SUPRA DISTRIBUIDORA DE MATERIAIS HOSPITALARES EIRELI";"Secretaria de Educacao";"090112021";"Registro de precos para eventual aquisicao materiais e insumos para higienizacao das unidades escolares e manutencao das medidas de prevencao contra a pandemia do COVID-19, para atender as demandas de Escolas, CREIS e do CEI (Centro de Educacao Integrado) da Secretaria de Educacao.

";"2021-07-27";"2022-01-26";"2021-07-27";"237264.0";"0";
"ELAINE GOMES GALVAO EPP - UNIMIX";"Secretaria de Educacao";"090122021";"Registro de precos para eventual aquisicao materiais e insumos para higienizacao das unidades escolares e manutencao das medidas de prevencao contra a pandemia do COVID-19, para atender as demandas de Escolas, CREIS e do CEI (Centro de Educacao Integrado) da Secretaria de Educacao.

";"2021-07-27";"2022-01-26";"2021-07-27";"130095.0";"0";
"UZE BRINDES E UNIFORMES LTDA ";"Secretaria de Educacao";"090152021";"Registro de precos para eventual aquisicao materiais e insumos para higienizacao das unidades escolares e manutencao das medidas de prevencao contra a pandemia do COVID-19, para atender as demandas de Escolas, CREIS e do CEI (Centro de Educacao Integrado) da Secretaria de Educacao.

";"2021-07-27";"2022-01-26";"2021-07-27";"6396.04";"0";
"MEDVIDA DISTRIBUIDORA DE MEDICAMENTOS HOSPITALAR E";"Instituto Candida Vargas";"232922021";"AQUISICAO DE SERINGAS DESCARTAVEIS";"";"2021-12-31";"2021-07-26";"5120.0";"0";
"MODERNA HOSPITALAR COMERCIO DE MATERIAIS MEDICOS E ORTOPEDICOS LTDA";"Instituto Candida Vargas";"232902021";"AQUISICAO DE SERINGAS DESCARTAVEIS";"";"2021-12-31";"2021-07-26";"17700.0";"0";
